iter	Passed	Remaining
0	143	143386
1	145	72649
2	147	49035
3	149	37285
4	152	30298
5	154	25565
6	156	22150
7	157	19589
8	159	17593
9	161	15992
10	163	14682
11	165	13588
12	167	12711
13	169	11950
14	171	11261
15	173	10656
16	175	10120
17	176	9638
18	178	9232
19	180	8865
20	183	8552
21	185	8257
22	187	7969
23	189	7697
24	190	7448
25	192	7213
26	194	7003
27	195	6802
28	197	6618
29	199	6455
30	201	6287
31	202	6119
32	203	5969
33	204	5823
34	206	5683
35	207	5551
36	208	5424
37	209	5312
38	210	5198
39	212	5093
40	213	4994
41	214	4903
42	215	4806
43	216	4713
44	217	4623
45	218	4538
46	219	4457
47	220	4381
48	221	4307
49	222	4234
50	223	4165
51	224	4098
52	225	4033
53	226	3973
54	228	3917
55	229	3862
56	230	3807
57	231	3754
58	232	3703
59	233	3655
60	234	3606
61	235	3558
62	236	3510
63	236	3463
64	237	3418
65	238	3374
66	239	3331
67	240	3290
68	240	3249
69	241	3209
70	242	3171
71	243	3137
72	244	3106
73	245	3071
74	246	3036
75	246	3002
76	247	2969
77	248	2938
78	249	2906
79	249	2874
80	250	2844
81	251	2814
82	251	2781
83	252	2752
84	253	2724
85	253	2697
86	254	2671
87	255	2644
88	255	2618
89	256	2594
90	257	2575
91	258	2554
92	259	2533
93	260	2512
94	261	2490
95	262	2468
96	262	2446
97	263	2424
98	264	2403
99	264	2382
100	265	2362
101	266	2344
102	267	2325
103	267	2306
104	268	2288
105	269	2269
106	269	2251
107	270	2233
108	271	2216
109	272	2201
110	272	2185
111	273	2170
112	274	2158
113	276	2145
114	276	2129
115	277	2114
116	277	2097
117	278	2082
118	279	2068
119	280	2053
120	280	2039
121	281	2024
122	281	2010
123	282	1997
124	283	1984
125	284	1971
126	284	1958
127	285	1945
128	286	1933
129	287	1921
130	287	1908
131	288	1897
132	289	1889
133	290	1878
134	291	1866
135	292	1855
136	292	1843
137	293	1833
138	294	1822
139	294	1811
140	295	1800
141	296	1788
142	296	1778
143	297	1768
144	298	1757
145	298	1747
146	299	1737
147	300	1727
148	301	1719
149	301	1709
150	302	1700
151	303	1692
152	304	1684
153	305	1677
154	306	1668
155	306	1659
156	307	1651
157	308	1642
158	308	1633
159	309	1624
160	309	1615
161	310	1606
162	311	1599
163	312	1591
164	312	1583
165	313	1575
166	314	1567
167	315	1560
168	315	1552
169	316	1545
170	317	1537
171	317	1530
172	318	1523
173	319	1516
174	320	1510
175	321	1503
176	321	1496
177	322	1490
178	324	1486
179	325	1482
180	326	1475
181	327	1469
182	327	1463
183	328	1456
184	329	1449
185	329	1443
186	330	1437
187	331	1430
188	332	1424
189	332	1418
190	333	1412
191	334	1407
192	335	1404
193	336	1398
194	337	1393
195	338	1387
196	338	1381
197	339	1375
198	340	1369
199	340	1363
200	341	1358
201	342	1352
202	343	1346
203	343	1341
204	344	1335
205	345	1330
206	345	1324
207	346	1319
208	347	1314
209	348	1310
210	349	1305
211	350	1302
212	351	1298
213	352	1293
214	352	1288
215	353	1283
216	354	1277
217	354	1272
218	355	1267
219	356	1262
220	356	1257
221	357	1253
222	358	1249
223	359	1244
224	359	1239
225	360	1234
226	361	1230
227	362	1226
228	362	1221
229	363	1216
230	364	1213
231	365	1210
232	366	1207
233	367	1202
234	368	1198
235	368	1194
236	369	1189
237	370	1185
238	370	1180
239	371	1176
240	372	1172
241	372	1167
242	373	1163
243	374	1159
244	374	1155
245	375	1151
246	376	1147
247	377	1143
248	377	1139
249	378	1135
250	379	1131
251	380	1128
252	381	1125
253	382	1122
254	382	1118
255	383	1114
256	384	1110
257	384	1106
258	385	1103
259	386	1099
260	387	1095
261	387	1092
262	388	1088
263	389	1084
264	389	1081
265	390	1077
266	391	1074
267	392	1070
268	392	1067
269	393	1063
270	394	1060
271	394	1057
272	396	1055
273	397	1052
274	398	1049
275	398	1045
276	399	1042
277	400	1039
278	400	1035
279	401	1032
280	402	1028
281	402	1025
282	403	1022
283	404	1019
284	405	1016
285	405	1013
286	406	1010
287	407	1007
288	408	1004
289	408	1000
290	409	997
291	410	995
292	411	993
293	412	991
294	413	988
295	414	985
296	414	982
297	415	979
298	416	975
299	416	972
300	417	969
301	418	966
302	419	963
303	419	961
304	420	958
305	421	956
306	422	953
307	423	951
308	424	948
309	425	946
310	426	944
311	426	941
312	427	938
313	428	936
314	429	934
315	430	932
316	431	930
317	432	927
318	433	924
319	433	921
320	434	918
321	435	915
322	435	913
323	436	910
324	437	907
325	437	905
326	438	902
327	439	899
328	439	897
329	440	894
330	442	893
331	442	890
332	443	888
333	444	885
334	444	882
335	445	880
336	446	877
337	446	875
338	447	872
339	448	869
340	448	867
341	449	864
342	450	862
343	450	859
344	451	857
345	452	854
346	452	852
347	453	849
348	454	847
349	455	845
350	456	843
351	457	842
352	458	840
353	459	837
354	459	835
355	460	832
356	461	830
357	461	828
358	462	825
359	463	823
360	463	821
361	464	818
362	465	816
363	465	814
364	466	811
365	467	809
366	468	807
367	469	805
368	469	803
369	470	801
370	471	799
371	472	798
372	473	796
373	474	793
374	475	791
375	475	789
376	476	787
377	477	785
378	477	783
379	478	780
380	479	778
381	479	776
382	480	774
383	481	772
384	481	769
385	482	767
386	483	766
387	484	764
388	485	762
389	486	760
390	487	758
391	488	757
392	488	755
393	489	753
394	490	751
395	491	749
396	491	746
397	492	744
398	493	742
399	493	740
400	494	738
401	495	736
402	495	734
403	496	732
404	497	730
405	498	728
406	498	726
407	499	724
408	500	722
409	500	720
410	501	719
411	503	718
412	504	716
413	505	714
414	505	712
415	506	711
416	507	709
417	507	707
418	508	705
419	509	703
420	510	701
421	510	699
422	511	697
423	512	696
424	513	694
425	514	693
426	515	691
427	515	689
428	516	687
429	517	685
